Country,Cases,Deaths,Recoveries,Death Rate,Recovery Rate
Cuba,7798,132,7307,0.017,0.937
Bahamas,7395,163,5628,0.022,0.761
Syria,7154,372,3043,0.052,0.425
Botswana,6820,27,5559,0.004,0.815
Guam,6476,104,4430,0.016,0.684
Trinidad and Tobago,6450,115,5610,0.018,0.87
Andorra,6256,76,5358,0.012,0.856
Eswatini,6205,119,5850,0.019,0.943
Malawi,6003,185,5441,0.031,0.906
Nicaragua,5725,159,4225,0.028,0.738
Djibouti,5661,61,5552,0.011,0.981
Congo,5632,93,3887,0.017,0.69
Rwanda,5620,46,5163,0.008,0.919
Hong Kong,5561,108,5248,0.019,0.944
Abkhazia,5318,68,3616,0.013,0.68
Suriname,5295,116,5166,0.022,0.976
Iceland,5277,26,5046,0.005,0.956
Equatorial Guinea,5130,85,4975,0.017,0.97
Guyana,5093,143,4018,0.028,0.789
Belize,5056,107,2760,0.021,0.546
Central African Republic,4911,63,1924,0.013,0.392
Aruba,4731,45,4596,0.01,0.971
Uruguay,4699,71,3679,0.015,0.783
Somalia,4382,108,3384,0.025,0.772
Thailand,3913,60,3761,0.015,0.961
Mali,3868,139,2937,0.036,0.759
The Gambia,3702,122,3567,0.033,0.964
South Sudan,3003,59,1290,0.02,0.43
Benin,2844,43,2515,0.015,0.884
Togo,2651,61,1885,0.023,0.711
Burkina Faso,2635,68,2426,0.026,0.921
Guinea-Bissau,2419,43,2255,0.018,0.932
Sierra Leone,2405,74,1828,0.031,0.76
Yemen,2086,608,1428,0.291,0.685
Lesotho,2085,44,1276,0.021,0.612
Curaçao,1749,3,1004,0.002,0.574
South Ossetia,1684,,484,,0.287
New Zealand,1672,25,1597,0.015,0.955
Luhansk PR,1669,121,1391,0.072,0.833
Chad,1551,99,1394,0.064,0.899
U.S. Virgin Islands,1491,23,1402,0.015,0.94
Liberia,1452,82,1311,0.056,0.903
San Marino,1395,43,1082,0.031,0.776
Niger,1351,70,1158,0.052,0.857
Vietnam,1306,35,1142,0.027,0.874
Somaliland,1223,37,1110,0.03,0.908
Liechtenstein,1109,8,900,0.007,0.812
USS Theodore Roosevelt,1102,1,751,0.001,0.681
Charles de Gaulle,1081,0,0,0.0,0.0
Northern Cyprus,1048,5,982,0.005,0.937
Sint Maarten,996,25,890,0.025,0.894
São Tomé and Príncipe,979,17,920,0.017,0.94
Gibraltar,887,1,742,0.001,0.837
Turks and Caicos Islands,746,6,700,0.008,0.938
Diamond Princess,712,14,653,0.02,0.917
Jersey,672,32,534,0.048,0.795
Taiwan,617,7,548,0.011,0.888
Papua New Guinea,599,7,585,0.012,0.977
Comoros,591,7,558,0.012,0.944
Burundi,589,1,511,0.002,0.868
Mongolia,587,0,337,0.0,0.574
Monaco,573,3,497,0.005,0.867
Faroe Islands,497,0,494,0.0,0.994
Eritrea,491,0,438,0.0,0.892
Mauritius,453,10,416,0.022,0.918
Artsakh,404,2,337,0.005,0.834
Bhutan,379,0,360,0.0,0.95
Isle of Man,359,25,324,0.07,0.903
Cambodia,306,0,295,0.0,0.964
Guernsey,282,13,253,0.046,0.897
Barbados,259,7,241,0.027,0.931
Cayman Islands,250,1,236,0.004,0.944
Bermuda,214,9,182,0.042,0.85
Saint Lucia,220,2,60,0.009,0.273
Seychelles,163,0,159,0.0,0.975
Costa Atlantica,148,0,148,0.0,1.0
Brunei,148,3,143,0.02,0.966
Antigua and Barbuda,139,3,127,0.022,0.914
Bonaire,134,3,126,0.022,0.94
Greg Mortimer,128,1,,0.008,
Northern Mariana Islands,100,2,19,0.02,0.19
Saint Vincent,84,0,78,0.0,0.929
British Virgin Islands,72,1,70,0.014,0.972
Dominica,72,0,55,0.0,0.764
Macau,46,0,46,0.0,1.0
Grenada,41,0,30,0.0,0.732
Fiji,35,2,33,0.057,0.943
East Timor,30,0,30,0.0,1.0
New Caledonia,30,0,30,0.0,1.0
Sahrawi Arab DR,28,2,26,0.071,0.929
Vatican City,27,0,15,0.0,0.556
Laos,25,0,23,0.0,0.92
Saint Kitts and Nevis,19,0,19,0.0,1.0
Greenland,17,0,17,0.0,1.0
Falkland Islands,16,0,13,0.0,0.812
Saint Pierre and Miquelon,16,0,12,0.0,0.75
Solomon Islands,16,0,5,0.0,0.312
Sint Eustatius,14,0,4,0.0,0.286
Montserrat,13,1,12,0.077,0.923
MS Zaandam,13,4,,0.308,
Coral Princess,12,3,,0.25,
SeaDream I,9,0,,0.0,
HNLMS Dolfijn,8,0,8,0.0,1.0
Marshall Islands,5,0,2,0.0,0.4
Saba,5,0,5,0.0,1.0
Anguilla,3,0,3,0.0,1.0
American Samoa,3,0,0,0.0,0.0
Wallis and Futuna,2,0,1,0.0,0.5
Samoa,1,0,0
